source_sequence,source_module,source_level,source_type,source_identifier,source_name,source_datatype,source_multiplicity,source_definition,source_semantic_path,source_class_term,target_sequence,target_module,target_level,target_type,target_identifier,target_name,target_datatype,target_multiplicity,target_definition,target_semantic_path,target_class_term,transformation,mapping_status,confidence,reason_codes,review_note
85,en16931,2,C,,Seller tax representative party,,0..1,"Project-defined Seller tax representative party in the Seller tax representative party context, represented as structured information.",$.invoice.sellerTaxRepresentativeParty,Seller tax representative party,24,btx,2,C,,Entity_ Party,,0..1,Holder for entity information - information about the reporting organization.,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""taxRepresentative""]",Entity_ Party,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED | R_MULTIPLICITY_REVIEW,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
86,en16931,3,A,,Seller tax representative name,Text,1..1,"Project-defined Seller tax representative name in the Seller tax representative party context, represented as Text.",$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeName,Seller tax representative party,25,btx,3,A,,Party Name,String,0..1,Name of the party,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""taxRepresentative""].btx_PartyName",Entity_ Party,identity,EXACT,HIGH,R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_DATATYPE_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
87,en16931,3,A,,Seller tax representative VAT identifier,Identifier,1..1,"Project-defined Seller tax representative VAT identifier in the Seller tax representative party context, represented as Identifier.",$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativeVatIdentifier,Seller tax representative party,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""taxRepresentative""][btx_IdentifierPurpose=""VAT""].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=taxRepresentative:Identifier_Type:PASS; btx_IdentifierPurpose=VAT:Identifier_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
88,en16931,3,C,,Seller tax representative postal address,,1..1,"Project-defined Seller tax representative postal address in the Seller tax representative postal address context, represented as structured information.",$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress,Seller tax representative postal address,40,bus,3,C,,Party_ Address,,0..*,Address class for the party,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""taxRepresentative""].btx_PartyAddress[bus_Purpose=""postal""]",Party_ Address,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED | R_MULTIPLICITY_REVIEW,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
89,en16931,4,A,,Tax representative address line 1,Text,0..1,"Project-defined Tax representative address line 1 in the Seller tax representative postal address context, represented as Text.",$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine1,Seller tax representative postal address,46,bus,4,A,,Street,String,0..1,Street address,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""taxRepresentative""].btx_PartyAddress[bus_Purpose=""postal""].bus_Street",Party_ Address,identity,EXACT,HIGH,R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_DATATYPE_MATCH | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 1 is mapped to target Street with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
90,en16931,4,A,,Tax representative address line 2,Text,0..1,"Project-defined Tax representative address line 2 in the Seller tax representative postal address context, represented as Text.",$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine2,Seller tax representative postal address,47,bus,4,A,,Address Detail,String,0..1,Address Detail,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""taxRepresentative""].btx_PartyAddress[bus_Purpose=""postal""].bus_AddressDetail",Party_ Address,identity,EXACT,HIGH,R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_DATATYPE_MATCH | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 2 is mapped to target Address Detail with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
91,en16931,4,A,,Tax representative address line 3,Text,0..1,"Project-defined Tax representative address line 3 in the Seller tax representative postal address context, represented as Text.",$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeAddressLine3,Seller tax representative postal address,42,bus,4,A,,Description,String,0..1,Address Description,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""taxRepresentative""].btx_PartyAddress[bus_Purpose=""postal""].bus_Description",Party_ Address,identity,EXACT,HIGH,R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_DATATYPE_MATCH | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 3 is mapped to target Description with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
92,en16931,4,A,,Tax representative city,Text,0..1,"Project-defined Tax representative city in the Seller tax representative postal address context, represented as Text.",$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCity,Seller tax representative postal address,48,bus,4,A,,City,String,0..1,City,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""taxRepresentative""].btx_PartyAddress[bus_Purpose=""postal""].bus_City",Party_ Address,identity,EXACT,HIGH,R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_DATATYPE_MATCH | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
93,en16931,4,A,,Tax representative post code,Text,0..1,"Project-defined Tax representative post code in the Seller tax representative postal address context, represented as Text.",$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativePostCode,Seller tax representative postal address,51,bus,4,A,,Zip or Postal Code,String,0..1,Zip or other postal code,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""taxRepresentative""].btx_PartyAddress[bus_Purpose=""postal""].bus_ZiporPostalCode",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
94,en16931,4,A,,Tax representative country subdivision,Text,0..1,"Project-defined Tax representative country subdivision in the Seller tax representative postal address context, represented as Text.",$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountrySubdivision,Seller tax representative postal address,49,bus,4,A,,State or Province,String,0..1,"State, province or region","$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""taxRepresentative""].btx_PartyAddress[bus_Purpose=""postal""].bus_StateorProvince",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
95,en16931,4,A,,Tax representative country code,Code,1..1,"Project-defined Tax representative country code in the Seller tax representative postal address context, represented as Code.",$.invoice.sellerTaxRepresentativeParty.sellerTaxRepresentativePostalAddress.taxRepresentativeCountryCode,Seller tax representative postal address,50,bus,4,A,,Country,String,0..1,Country,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""taxRepresentative""].btx_PartyAddress[bus_Purpose=""postal""].bus_Country",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence for EN16931 to XBRL GL Next Business Transactions. The EN country-code lexical value is stored in the target Country fact for this Binding. This does not redefine the generic XBRL GL Next Country concept as code-only. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
96,en16931,2,C,,Delivery information,,0..1,"Project-defined Delivery information in the Delivery information context, represented as structured information.",$.invoice.deliveryInformation,Delivery information,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
97,en16931,3,A,,Deliver to party name,Text,0..1,"Project-defined Deliver to party name in the Delivery information context, represented as Text.",$.invoice.deliveryInformation.deliverToPartyName,Delivery information,25,btx,3,A,,Party Name,String,0..1,Name of the party,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""deliverTo""].btx_PartyName",Entity_ Party,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_SEMANTIC_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; FULL_BIDIRECTIONAL. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
98,en16931,3,A,,Deliver to location identifier,Identifier,0..1,"Project-defined Deliver to location identifier in the Delivery information context, represented as Identifier.",$.invoice.deliveryInformation.deliverToLocationIdentifier,Delivery information,231,btx,5,A,,ID,Token,1,The registered identifier value assigned under the specified identification scheme.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""deliverTo""][btx_IdentifierPurpose=""location""].btx_RegisteredIdentifier.btx_ID",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=deliverTo:Identifier_Type:PASS; btx_IdentifierPurpose=location:Identifier_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
99,en16931,3,A,,Scheme identifier,Identifier,0..1,"Project-defined Scheme identifier in the Delivery information context, represented as Identifier.",$.invoice.deliveryInformation.deliverToLocationIdentifierSchemeIdentifier,Delivery information,232,btx,5,A,,Identification Scheme,Token,1,The registration or identification scheme under which the identifier is assigned and interpreted.,"$.btx_BusinessTransactions.btx_TransactionHeader.btx_HeaderIdentifierReference[btx_IdentifierType=""deliverTo""][btx_IdentifierPurpose=""location""].btx_RegisteredIdentifier.btx_IdentificationScheme",Registered Identifier,identity,EXACT,HIGH,,v10 current-taxonomy re-review: semantic meaning and direct target Attribute reviewed; selected target occurrence is reconstructible from the full semantic_path; datatype is a lossless XBRL binding-compatible representation; source-to-target-to-source multiplicity is preserved. Current selector evidence: btx_IdentifierType=deliverTo:Identifier_Type:PASS; btx_IdentifierPurpose=location:Identifier_Purpose:PASS. Previously recorded EE1/discriminator blockers are resolved by the accepted 477-row HMD and EE1 taxonomy.
100,en16931,3,A,,Actual delivery date,Date,0..1,"Project-defined Actual delivery date in the Delivery information context, represented as Date.",$.invoice.deliveryInformation.actualDeliveryDate,Delivery information,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v15 final review: existing target rejected; separate semantic-model approval is required.
101,en16931,2,C,,Invoicing period,,0..1,"Project-defined Invoicing period in the Invoicing period context, represented as structured information.",$.invoice.invoicingPeriod,Invoicing period,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
102,en16931,3,A,,Invoicing period start date,Date,0..1,"Project-defined Invoicing period start date in the Invoicing period context, represented as Date.",$.invoice.invoicingPeriod.invoicingPeriodStartDate,Invoicing period,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,477-row HMD and current FSM/BSM/reviewed-LHM were searched; similar fields have different document/context semantics. Original blocker=B5_SEMANTIC_GAP. Alternative candidates (not approved): 134:$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod.bus_PeriodStartDate (Period Start Date); 84:$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodStartDate (Accounting Method Start Date); 135:$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod.bus_PeriodEndDate (Period End Date)
103,en16931,3,A,,Invoicing period end date,Date,0..1,"Project-defined Invoicing period end date in the Invoicing period context, represented as Date.",$.invoice.invoicingPeriod.invoicingPeriodEndDate,Invoicing period,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,477-row HMD and current FSM/BSM/reviewed-LHM were searched; similar fields have different document/context semantics. Original blocker=B5_SEMANTIC_GAP. Alternative candidates (not approved): 135:$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod.bus_PeriodEndDate (Period End Date); 134:$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedReportingCalendar.bus_ReportingCalendarPeriod.bus_PeriodStartDate (Period Start Date); 85:$.btx_BusinessTransactions.btx_EntityParty.cor_SpecifiedAccountingMethodStructure.bus_AccountingMethodEndDate (Accounting Method End Date)
104,en16931,3,C,,Deliver to address,,0..1,"Project-defined Deliver to address in the Deliver to address context, represented as structured information.",$.invoice.deliveryInformation.deliverToAddress,Deliver to address,40,bus,3,C,,Party_ Address,,0..*,Address class for the party,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""deliverTo""].btx_PartyAddress[bus_Purpose=""delivery""]",Party_ Address,identity,STRUCTURAL,HIGH,R_DISCRIMINATOR_REQUIRED | R_MULTIPLICITY_REVIEW,v10 current-taxonomy re-review: executable structural correspondence; transformation is explicitly identity and the full selector-bearing Class path defines the target occurrence.
105,en16931,4,A,,Deliver to address line 1,Text,0..1,"Project-defined Deliver to address line 1 in the Deliver to address context, represented as Text.",$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine1,Deliver to address,46,bus,4,A,,Street,String,0..1,Street address,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""deliverTo""].btx_PartyAddress[bus_Purpose=""delivery""].bus_Street",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 1 is mapped to target Street with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
106,en16931,4,A,,Deliver to address line 2,Text,0..1,"Project-defined Deliver to address line 2 in the Deliver to address context, represented as Text.",$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine2,Deliver to address,47,bus,4,A,,Address Detail,String,0..1,Address Detail,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""deliverTo""].btx_PartyAddress[bus_Purpose=""delivery""].bus_AddressDetail",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 2 is mapped to target Address Detail with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
107,en16931,4,A,,Deliver to address line 3,Text,0..1,"Project-defined Deliver to address line 3 in the Deliver to address context, represented as Text.",$.invoice.deliveryInformation.deliverToAddress.deliverToAddressLine3,Deliver to address,42,bus,4,A,,Description,String,0..1,Address Description,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""deliverTo""].btx_PartyAddress[bus_Purpose=""delivery""].bus_Description",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence. EN Address line 3 is mapped to target Description with identity transformation. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
108,en16931,4,A,,Deliver to city,Text,0..1,"Project-defined Deliver to city in the Deliver to address context, represented as Text.",$.invoice.deliveryInformation.deliverToAddress.deliverToCity,Deliver to address,48,bus,4,A,,City,String,0..1,City,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""deliverTo""].btx_PartyAddress[bus_Purpose=""delivery""].bus_City",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
109,en16931,4,A,,Deliver to post code,Text,0..1,"Project-defined Deliver to post code in the Deliver to address context, represented as Text.",$.invoice.deliveryInformation.deliverToAddress.deliverToPostCode,Deliver to address,51,bus,4,A,,Zip or Postal Code,String,0..1,Zip or other postal code,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""deliverTo""].btx_PartyAddress[bus_Purpose=""delivery""].bus_ZiporPostalCode",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
110,en16931,4,A,,Deliver to country subdivision,Text,0..1,"Project-defined Deliver to country subdivision in the Deliver to address context, represented as Text.",$.invoice.deliveryInformation.deliverToAddress.deliverToCountrySubdivision,Deliver to address,49,bus,4,A,,State or Province,String,0..1,"State, province or region","$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""deliverTo""].btx_PartyAddress[bus_Purpose=""delivery""].bus_StateorProvince",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_SEMANTIC_MATCH | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED,v12 Party semantic review: exact fact meaning under selector-qualified role/context; LOSSLESS_FOR_EN_ROUNDTRIP. Arbitrary target totality is not claimed where target may omit a required EN value or add occurrences.
111,en16931,4,A,,Deliver to country code,Code,1..1,"Project-defined Deliver to country code in the Deliver to address context, represented as Code.",$.invoice.deliveryInformation.deliverToAddress.deliverToCountryCode,Deliver to address,50,bus,4,A,,Country,String,0..1,Country,"$.btx_BusinessTransactions.btx_EntityParty[btx_EntityPartyType=""deliverTo""].btx_PartyAddress[bus_Purpose=""delivery""].bus_Country",Party_ Address,identity,EXACT,HIGH,R_DATATYPE_MATCH | R_CONTEXT_MATCH | R_SELECTOR_QUALIFIED_OCCURRENCE | R_MULTIPLICITY_EN_ROUNDTRIP_RESOLVED | R_SEMANTIC_MATCH | R_BINDING_LEVEL_SEMANTIC_APPROVAL,Approved as a Binding-level correspondence for EN16931 to XBRL GL Next Business Transactions. The EN country-code lexical value is stored in the target Country fact for this Binding. This does not redefine the generic XBRL GL Next Country concept as code-only. Selector-qualified occurrence and accepted EN roundtrip multiplicity rules remain in force.
112,en16931,2,C,,Payment instructions,,0..*,"Project-defined Payment instructions in the Payment instruction context, represented as structured information.",$.invoice.paymentInstructions,Payment instruction,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
113,en16931,3,A,,Payment means type code,Code,1..1,"Project-defined Payment means type code in the Payment instruction context, represented as Code.",$.invoice.paymentInstructions.paymentMeansTypeCode,Payment instruction,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
114,en16931,3,A,,Payment means text,Text,0..1,"Project-defined Payment means text in the Payment instruction context, represented as Text.",$.invoice.paymentInstructions.paymentMeansText,Payment instruction,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v15 final review: existing target rejected; separate semantic-model approval is required.
115,en16931,3,A,,Payment remittance information,Text,0..1,"Project-defined Payment remittance information in the Payment instruction context, represented as Text.",$.invoice.paymentInstructions.paymentRemittanceInformation,Payment instruction,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
116,en16931,3,C,,Credit transfer,,0..*,"Project-defined Credit transfer in the Credit transfer context, represented as structured information.",$.invoice.paymentInstructions.creditTransfer,Credit transfer,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
117,en16931,4,A,,Payment account identifier,Identifier,0..1,"Project-defined Payment account identifier in the Credit transfer context, represented as Identifier.",$.invoice.paymentInstructions.creditTransfer.paymentAccountIdentifier,Credit transfer,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
118,en16931,4,A,,Payment account name,Text,0..1,"Project-defined Payment account name in the Credit transfer context, represented as Text.",$.invoice.paymentInstructions.creditTransfer.paymentAccountName,Credit transfer,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
119,en16931,4,A,,Payment service provider identifier,Identifier,0..1,"Project-defined Payment service provider identifier in the Credit transfer context, represented as Identifier.",$.invoice.paymentInstructions.creditTransfer.paymentServiceProviderIdentifier,Credit transfer,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
120,en16931,3,C,,Payment card information,,0..1,"Project-defined Payment card information in the Payment card information context, represented as structured information.",$.invoice.paymentInstructions.paymentCardInformation,Payment card information,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
121,en16931,4,A,,Payment card primary account number,Identifier,1..1,"Project-defined Payment card primary account number in the Payment card information context, represented as Identifier.",$.invoice.paymentInstructions.paymentCardInformation.paymentCardPrimaryAccountNumber,Payment card information,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP,v14: misleading weak target rejected; no semantically valid target in accepted 477-row HMD.
122,en16931,4,A,,Payment card holder name,Text,0..1,"Project-defined Payment card holder name in the Payment card information context, represented as Text.",$.invoice.paymentInstructions.paymentCardInformation.paymentCardHolderName,Payment card information,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
123,en16931,3,C,,Direct debit,,0..1,"Project-defined Direct debit in the Direct debit context, represented as structured information.",$.invoice.paymentInstructions.directDebit,Direct debit,,,,,,,,,,,,,STRUCTURAL,,,EN CIUS HMD Class row retained for complete source-HMD coverage. v10: source grouping Class retained. No separate target-only structural row is emitted; each mapped descendant carries its complete target semantic_path.
124,en16931,4,A,,Mandate reference identifier,Identifier,0..1,"Project-defined Mandate reference identifier in the Direct debit context, represented as Identifier.",$.invoice.paymentInstructions.directDebit.mandateReferenceIdentifier,Direct debit,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
125,en16931,4,A,,Bank assigned creditor identifier,Identifier,0..1,"Project-defined Bank assigned creditor identifier in the Direct debit context, represented as Identifier.",$.invoice.paymentInstructions.directDebit.bankAssignedCreditorIdentifier,Direct debit,38,bus,4,A,PK,Organization Identifier Code,String,0..1,"Code representing the company or organization whose data this file represents: used for situations where one user (e.g., a CPA) needs to keep track of multiple organizations' files (e.g., multiple clients). Can be EIN#, client #, internal/external identifier, SIC code. Codes which identifies the entity. Includes the code identifier of the authority issuing the code, a colon, and the code itself. For example, CIK:01234567 for the CIK number issued by SEC EDGAR.",$.btx_BusinessTransactions.btx_EntityParty.btx_RegisteredOrganizationIdentifier.bus_OrganizationIdentifierCode,Organization Identifier,,REVIEW_REQUIRED,MEDIUM,R_TARGET_CANDIDATE_WEAK | R_MULTIPLICITY_REVIEW | R_DATATYPE_MATCH | R_MULTIPLICITY_MATCH,"v10 current-taxonomy re-review: resolved: current selector field/value is defined. Not executable because R_TARGET_CANDIDATE_WEAK, R_MULTIPLICITY_REVIEW. Current selector evidence: no equality selector. No mapping is inferred."
126,en16931,4,A,,Debited account identifier,Identifier,0..1,"Project-defined Debited account identifier in the Direct debit context, represented as Identifier.",$.invoice.paymentInstructions.directDebit.debitedAccountIdentifier,Direct debit,,,,,,,,,,,,,NO_TARGET,LOW,R_SEMANTIC_GAP | R_MODEL_EXTENSION_CANDIDATE,v14: misleading weak target rejected; separate model extension approval required.
