sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
116,0000.0003.0004.0006.0005,3,3,C,,Credit transfer,,0..*,,Payment terms textual information.,en16931,Credit transfer,BG-17,$.invoice.paymentInstructions.creditTransfer,,,CreditTransfer,ram:PayeePartyCreditorFinancialAccount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
117,0000.0003.0004.0006.0005.0001,4,4,A,,Payment account identifier,Identifier,0..1,,"payment account, at a payment service provider, to which payment should be made. The name of the payment account,",en16931,Credit transfer,BT-84,$.invoice.paymentInstructions.creditTransfer.paymentAccountIdentifier,,,PaymentAccountIdentifier,ram:IBANID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount/ram:IBANID,,CII_ACCOUNT_ID_IF_IBAN,false,CEN/TS: use IBANID if applicable.
117,0000.0003.0004.0006.0005.0003,4,4,A,,Payment account identifier,Identifier,0..1,,"payment account, at a payment service provider, to which payment should be made. The name of the payment account,",en16931,Credit transfer,BT-84,$.invoice.paymentInstructions.creditTransfer.paymentAccountIdentifier,,,PaymentAccountIdentifier,ram:ProprietaryID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount/ram:ProprietaryID,,CII_ACCOUNT_ID_IF_NOT_IBAN,false,CEN/TS: use ProprietaryID otherwise.
118,0000.0003.0004.0006.0005.0002,4,4,A,,Payment account name,Text,0..1,,"at a payment service provider, to which payment should be made. An identifier for the payment",en16931,Credit transfer,BT-85,$.invoice.paymentInstructions.creditTransfer.paymentAccountName,,,PaymentAccountName,ram:AccountName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeePartyCreditorFinancialAccount/ram:AccountName,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
119,0000.0003.0004.0006.0007.0001,4,4,A,,Payment service provider identifier,Identifier,0..1,,service provider where a payment account is located. A group of business terms providing,en16931,Credit transfer,BT-86,$.invoice.paymentInstructions.creditTransfer.paymentServiceProviderIdentifier,,,PaymentServiceProviderIdentifier,ram:BICID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayeeSpecifiedCreditorFinancialInstitution/ram:BICID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
120,0000.0003.0004.0006.0003,3,3,C,,Payment card information,,0..1,,information about card used for payment contemporaneous with invoice issuance.,en16931,Payment card information,BG-18,$.invoice.paymentInstructions.paymentCardInformation,,,PaymentCardInformation,ram:ApplicableTradeSettlementFinancialCard,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
121,0000.0003.0004.0006.0003.0001,4,4,A,,Payment card primary account number,Identifier,1..1,,The Primary Account Number (PAN) of the card used for payment.,en16931,Payment card information,BT-87,$.invoice.paymentInstructions.paymentCardInformation.paymentCardPrimaryAccountNumber,,,PaymentCardPrimaryAccountNumber,ram:ID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:ID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
122,0000.0003.0004.0006.0003.0002,4,4,A,,Payment card holder name,Text,0..1,,The name of the payment card holder.,en16931,Payment card information,BT-88,$.invoice.paymentInstructions.paymentCardInformation.paymentCardHolderName,,,PaymentCardHolderName,ram:CardholderName,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:ApplicableTradeSettlementFinancialCard/ram:CardholderName,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
123,0000.0003.0004,3,3,C,,Direct debit,,0..1,,A group of business terms to specify a direct debit. Unique identifier assigned by the,en16931,Direct debit,BG-19,$.invoice.paymentInstructions.directDebit,,,DirectDebit,ram:ApplicableHeaderTradeSettlement,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
124,0000.0003.0004.0010.0003,4,4,A,,Mandate reference identifier,Identifier,0..1,,Payee for referencing the direct debit mandate. Unique banking reference identifier,en16931,Direct debit,BT-89,$.invoice.paymentInstructions.directDebit.mandateReferenceIdentifier,,,MandateReferenceIdentifier,ram:DirectDebitMandateID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:DirectDebitMandateID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
125,0000.0003.0004.0001,4,4,A,,Bank assigned creditor identifier,Identifier,0..1,,of the Payee or Seller assigned by the Payee or Seller bank.,en16931,Direct debit,BT-90,$.invoice.paymentInstructions.directDebit.bankAssignedCreditorIdentifier,,,BankAssignedCreditorIdentifier,ram:CreditorReferenceID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:CreditorReferenceID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
126,0000.0003.0004.0006.0004.0001,4,4,A,,Debited account identifier,Identifier,0..1,,The account to be debited by the direct debit. A group of business terms providing,en16931,Direct debit,BT-91,$.invoice.paymentInstructions.directDebit.debitedAccountIdentifier,,,DebitedAccountIdentifier,ram:IBANID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementPaymentMeans/ram:PayerPartyDebtorFinancialAccount/ram:IBANID,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
127,0000.0003.0004.0009,2,2,C,,Document level allowances,,0..*,,information about allowances applicable to the Invoice as a whole.,en16931,Document level allowance,BG-20,$.invoice.documentLevelAllowances,,,DocumentLevelAllowances,ram:SpecifiedTradeAllowanceCharge,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false'],,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
128,0000.0003.0004.0009.0004,3,3,A,,Document level allowance amount,Amount,1..1,,"The amount of an allowance, without VAT. The base amount that may be used,",en16931,Document level allowance,BT-92,$.invoice.documentLevelAllowances.documentLevelAllowanceAmount,,,DocumentLevelAllowanceAmount,ram:ActualAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:ActualAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
129,0000.0003.0004.0009.0003,3,3,A,,Document level allowance base amount,Amount,0..1,,"in conjunction with the document level allowance percentage, to calculate the document level allowance amount. The percentage that may be used, in",en16931,Document level allowance,BT-93,$.invoice.documentLevelAllowances.documentLevelAllowanceBaseAmount,,,DocumentLevelAllowanceBaseAmount,ram:BasisAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:BasisAmount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
130,0000.0003.0004.0009.0002,3,3,A,,Document level allowance percentage,Percentage,0..1,,"conjunction with the document level allowance base amount, to calculate",en16931,Document level allowance,BT-94,$.invoice.documentLevelAllowances.documentLevelAllowancePercentage,,,DocumentLevelAllowancePercentage,ram:CalculationPercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:CalculationPercent,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
131,0000.0003.0004.0009.0007.0002,3,3,A,,Document level allowance VAT category code,Code,1..1,,"The VAT rate, represented as percentage that applies to the",en16931,Document level allowance,BT-95,$.invoice.documentLevelAllowances.documentLevelAllowanceVatCategoryCode,,,DocumentLevelAllowanceVatCategoryCode,ram:CategoryCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:CategoryTradeTax[ram:TypeCode='VAT']/ram:CategoryCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
132,0000.0003.0004.0009.0007.0003,3,3,A,,Document level allowance VAT rate,Percentage,0..1,,document level allowance.,en16931,Document level allowance,BT-96,$.invoice.documentLevelAllowances.documentLevelAllowanceVatRate,,,DocumentLevelAllowanceVatRate,ram:RateApplicablePercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:CategoryTradeTax[ram:TypeCode='VAT']/ram:RateApplicablePercent,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
133,0000.0003.0004.0009.0006,3,3,A,,Document level allowance reason,Text,0..1,,Reason for a document level allowance.,en16931,Document level allowance,BT-97,$.invoice.documentLevelAllowances.documentLevelAllowanceReason,,,DocumentLevelAllowanceReason,ram:Reason,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:Reason,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
134,0000.0003.0004.0009.0005,3,3,A,,Document level allowance reason code,Code,0..1,,"The reason for the document level allowance, expressed as a code. A group of business terms providing",en16931,Document level allowance,BT-98,$.invoice.documentLevelAllowances.documentLevelAllowanceReasonCode,,,DocumentLevelAllowanceReasonCode,ram:ReasonCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='false']/ram:ReasonCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
135,0000.0003.0004.0009,2,2,C,,Document level charges,,0..*,,"information about charges and taxes other than VAT, applicable to the Invoice as a whole. The amount of a charge, without",en16931,Document level charge,BG-21,$.invoice.documentLevelCharges,,,DocumentLevelCharges,ram:SpecifiedTradeAllowanceCharge,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true'],,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
136,0000.0003.0004.0009.0004,3,3,A,,Document level charge amount,Amount,1..1,,"VAT. The base amount that may be used,",en16931,Document level charge,BT-99,$.invoice.documentLevelCharges.documentLevelChargeAmount,,,DocumentLevelChargeAmount,ram:ActualAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:ActualAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
137,0000.0003.0004.0009.0003,3,3,A,,Document level charge base amount,Amount,0..1,,"in conjunction with the document level charge percentage, to calculate the document level charge amount. The percentage that may be used, in",en16931,Document level charge,BT-100,$.invoice.documentLevelCharges.documentLevelChargeBaseAmount,,,DocumentLevelChargeBaseAmount,ram:BasisAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:BasisAmount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
138,0000.0003.0004.0009.0002,3,3,A,,Document level charge percentage,Percentage,0..1,,conjunction with the document level,en16931,Document level charge,BT-101,$.invoice.documentLevelCharges.documentLevelChargePercentage,,,DocumentLevelChargePercentage,ram:CalculationPercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:CalculationPercent,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
139,0000.0003.0004.0009.0007.0002,3,3,A,,Document level charge VAT category code,Code,1..1,,"The VAT rate, represented as",en16931,Document level charge,BT-102,$.invoice.documentLevelCharges.documentLevelChargeVatCategoryCode,,,DocumentLevelChargeVatCategoryCode,ram:CategoryCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:CategoryTradeTax[ram:TypeCode='VAT']/ram:CategoryCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
140,0000.0003.0004.0009.0007.0003,3,3,A,,Document level charge VAT rate,Percentage,0..1,,percentage that applies to the document level charge.,en16931,Document level charge,BT-103,$.invoice.documentLevelCharges.documentLevelChargeVatRate,,,DocumentLevelChargeVatRate,ram:RateApplicablePercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:CategoryTradeTax[ram:TypeCode='VAT']/ram:RateApplicablePercent,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
141,0000.0003.0004.0009.0006,3,3,A,,Document level charge reason,Text,0..1,,Reason for a document level charge.,en16931,Document level charge,BT-104,$.invoice.documentLevelCharges.documentLevelChargeReason,,,DocumentLevelChargeReason,ram:Reason,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:Reason,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
142,0000.0003.0004.0009.0005,3,3,A,,Document level charge reason code,Code,0..1,,"charge, expressed as a code. A group of business terms providing the monetary totals for the Invoice.",en16931,Document level charge,BT-105,$.invoice.documentLevelCharges.documentLevelChargeReasonCode,,,DocumentLevelChargeReasonCode,ram:ReasonCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeAllowanceCharge[ram:ChargeIndicator/udt:Indicator='true']/ram:ReasonCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
143,0000.0003.0004.0011,2,2,C,,Document totals,,1..1,,Invoice monetary totals.,en16931,Document total,BG-22,$.invoice.documentTotals,,,DocumentTotals,ram:SpecifiedTradeSettlementHeaderMonetarySummation,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
144,0000.0003.0004.0011.0001,3,3,A,,Sum of invoice line net amount,Amount,1..1,,Sum of all Invoice line net amounts in the Invoice. Sum of all allowances on document,en16931,Document total,BT-106,$.invoice.documentTotals.sumOfInvoiceLineNetAmount,,,SumOfInvoiceLineNetAmount,ram:LineTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:LineTotalAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
145,0000.0003.0004.0011.0003,3,3,A,,Sum of allowances on document level,Amount,0..1,,level in the Invoice. Sum of all charges on document,en16931,Document total,BT-107,$.invoice.documentTotals.sumOfAllowancesOnDocumentLevel,,,SumOfAllowancesOnDocumentLevel,ram:AllowanceTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:AllowanceTotalAmount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
146,0000.0003.0004.0011.0002,3,3,A,,Sum of charges on document level,Amount,0..1,,level in the Invoice. The total amount of the Invoice,en16931,Document total,BT-108,$.invoice.documentTotals.sumOfChargesOnDocumentLevel,,,SumOfChargesOnDocumentLevel,ram:ChargeTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:ChargeTotalAmount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
147,0000.0003.0004.0011.0004,3,3,A,,Invoice total amount without VAT,Amount,1..1,,without VAT.,en16931,Document total,BT-109,$.invoice.documentTotals.invoiceTotalAmountWithoutVat,,,InvoiceTotalAmountWithoutVat,ram:TaxBasisTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:TaxBasisTotalAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
148,0000.0003.0004.0011.0005,3,3,A,,Invoice total VAT amount,Amount,1..1,,The total VAT amount for the Invoice. The VAT total amount expressed in the accounting currency accepted or required in the country of the Seller.,en16931,Document total,BT-110,$.invoice.documentTotals.invoiceTotalVatAmount,,,InvoiceTotalVatAmount,ram:TaxTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:TaxTotalAmount,,CII_TAX_TOTAL_DOCUMENT_CURRENCY,true,@currencyID distinguishes document-currency VAT total.
149,0000.0003.0004.0011.0005,3,3,A,,Invoice total VAT amount in accounting currency,Amount,0..1,,The total amount of the Invoice with,en16931,Document total,BT-111,$.invoice.documentTotals.invoiceTotalVatAmountInAccountingCurrency,,,InvoiceTotalVatAmountInAccountingCurrency,ram:TaxTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:TaxTotalAmount,,CII_TAX_TOTAL_ACCOUNTING_CURRENCY,false,@currencyID distinguishes accounting-currency VAT total.
150,0000.0003.0004.0011.0007,3,3,A,,Invoice total amount with VAT,Amount,1..1,,Invoice total amount including VAT.,en16931,Document total,BT-112,$.invoice.documentTotals.invoiceTotalAmountWithVat,,,InvoiceTotalAmountWithVat,ram:GrandTotalAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:GrandTotalAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
151,0000.0003.0004.0011.0008,3,3,A,,Paid amount,Amount,0..1,,been paid in advance. The amount to be added to the,en16931,Document total,BT-113,$.invoice.documentTotals.paidAmount,,,PaidAmount,ram:TotalPrepaidAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:TotalPrepaidAmount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
152,0000.0003.0004.0011.0006,3,3,A,,Rounding amount,Amount,0..1,,invoice total to round the amount to be paid.,en16931,Document total,BT-114,$.invoice.documentTotals.roundingAmount,,,RoundingAmount,ram:RoundingAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:RoundingAmount,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
153,0000.0003.0004.0011.0009,3,3,A,,Amount due for payment,Amount,1..1,,The outstanding amount that is requested to be paid. A group of business terms providing,en16931,Document total,BT-115,$.invoice.documentTotals.amountDueForPayment,,,AmountDueForPayment,ram:DuePayableAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradeSettlementHeaderMonetarySummation/ram:DuePayableAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
154,0000.0003.0004.0007,2,2,C,,VAT breakdown,,1..*,,"information about VAT breakdown by different categories, rates and exemption reasons Sum of all taxable amounts subject",en16931,VAT breakdown,BG-23,$.invoice.vatBreakdown,,,VatBreakdown,ram:ApplicableTradeTax,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT'],,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Task-local class-anchor correction: VAT predicate.
155,0000.0003.0004.0007.0004,3,3,A,,VAT category taxable amount,Amount,1..1,,to a specific VAT category code and VAT category rate (if the VAT category rate is applicable). The total VAT amount for a given,en16931,VAT breakdown,BT-116,$.invoice.vatBreakdown.vatCategoryTaxableAmount,,,VatCategoryTaxableAmount,ram:BasisAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:BasisAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
156,0000.0003.0004.0007.0001,3,3,A,,VAT category tax amount,Amount,1..1,,VAT amount for VAT category.,en16931,VAT breakdown,BT-117,$.invoice.vatBreakdown.vatCategoryTaxAmount,,,VatCategoryTaxAmount,ram:CalculatedAmount,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:CalculatedAmount,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
157,0000.0003.0004.0007.0005,3,3,A,,VAT category code,Code,1..1,,"The VAT rate, represented as",en16931,VAT breakdown,BT-118,$.invoice.vatBreakdown.vatCategoryCode,,,VatCategoryCode,ram:CategoryCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:CategoryCode,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
158,0000.0003.0004.0007.0009,3,3,A,,VAT category rate,Decimal,0..1,,percentage that applies for the relevant VAT category. A textual statement of the reason,en16931,VAT breakdown,BT-119,$.invoice.vatBreakdown.vatCategoryRate,,,VatCategoryRate,ram:RateApplicablePercent,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:RateApplicablePercent,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
159,0000.0003.0004.0007.0003,3,3,A,,VAT exemption reason text,Text,0..1,,why the amount is exempted from VAT or why no VAT is being charged A coded statement of the reason for why the amount is exempted from,en16931,VAT breakdown,BT-120,$.invoice.vatBreakdown.vatExemptionReasonText,,,VatExemptionReasonText,ram:ExemptionReason,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:ExemptionReason,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
160,0000.0003.0004.0007.0006,3,3,A,,VAT exemption reason code,Code,0..1,,Code identifying the reason for VAT exemption.,en16931,VAT breakdown,BT-121,$.invoice.vatBreakdown.vatExemptionReasonCode,,,VatExemptionReasonCode,ram:ExemptionReasonCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax[ram:TypeCode='VAT']/ram:ExemptionReasonCode,,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
161,0000.0003.0002.0008,2,2,C,,Additional supporting documents,,0..*,,An identifier of the supporting,en16931,Additional supporting document,BG-24,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][not(attachedDocument)],,,AdditionalSupportingDocuments,ram:AdditionalReferencedDocument,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916'],,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Task-local class-anchor correction: TypeCode 916 predicate.
161,0000.0003.0002.0008,2,2,C,,Additional supporting documents,,0..*,,An identifier of the supporting,en16931,Additional supporting document,BG-24,$.invoice.additionalSupportingDocuments[externalDocumentLocation][not(attachedDocument)],,,AdditionalSupportingDocuments,ram:AdditionalReferencedDocument,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916'],,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Task-local class-anchor correction: TypeCode 916 predicate.
161,0000.0003.0002.0008,2,2,C,,Additional supporting documents,,0..*,,An identifier of the supporting,en16931,Additional supporting document,BG-24,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][attachedDocument],,,AdditionalSupportingDocuments,ram:AdditionalReferencedDocument,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916'],,,false,CEN/TS 16931-3-3:2020 Table 2 normative mapping. Task-local class-anchor correction: TypeCode 916 predicate.
162,0000.0003.0002.0008.0001,3,3,A,,Supporting document reference,Identifier,1..1,,document. A description of the supporting,en16931,Additional supporting document,BT-122,$.invoice.additionalSupportingDocuments[not(externalDocumentLocation)][not(attachedDocument)].supportingDocumentReference,,,SupportingDocumentReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:IssuerAssignedID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
162,0000.0003.0002.0008.0001,3,3,A,,Supporting document reference,Identifier,1..1,,document. A description of the supporting,en16931,Additional supporting document,BT-122,$.invoice.additionalSupportingDocuments[externalDocumentLocation][not(attachedDocument)].supportingDocumentReference,,,SupportingDocumentReference,ram:IssuerAssignedID,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:AdditionalReferencedDocument[ram:TypeCode='916']/ram:IssuerAssignedID,,,true,CEN/TS 16931-3-3:2020 Table 2 normative mapping.
